Tháng thi dự kiến ;"Thời gian triển khai/đăng kí
(dự kiến)";Ngày thi dự kiến (nếu có) tính theo thứ tự từ trước đến sau;Tên cuộc thi;Mức độ;Có thể triển khai cấp Khối;Có vòng Quốc tế;Cuộc thi nội bộ FPT/FE;Môn thi/lĩnh vực thi;Đối tượng học sinh khối có thể dự thi;"Lệ phí dự thi nộp cho BTC
(VNĐ)";Ngôn ngữ thi (Tiếng việt/Tiếng anh/Khác);Bộ phận phụ trách;Cấp độ (Thành phố, Quận, Hệ thống FE/Fschools, Đơn vị tư nhân);Giá trị cuộc thi (Giao lưu quốc tế, huy chương, chứng nhận, tiền mặt, học bổng, minh chứng xét học bổng du học);Link contact hoặc website;;;;;;;;;;;;;;;
Tháng 11/2026;Tháng 10/2026;26/11/2026;Thách thức tư duy thuật Toán Bebras;Trung bình;Có;Không;;Toán;K1 - K9;400.000;Tiếng Việt;Tổ Tự nhiên;Quốc gia;Huy chương, giấy chứng nhận thành tích;https://www.bebras.vn/;;;;;;;;;;;;;;;
Tháng 11/2026;Tháng 10/2026;30/11/2026;STEM Olympiad (Tin học) - Đợt 1;Khó;Có;Có;;Tin học;K1 - K9;1.050.000;Tiếng Anh;"Tổ Tự nhiên
Tổ STEM-Công nghệ";Quốc gia;Huy chương, giấy chứng nhận tham gia;http://olympickhoahoc.com.vn/international-stem-olympiad/;;;;;;;;;;;;;;;
Tháng 12/2026;Tháng 09/2026;Tháng 11-12/2026;GELOSEA;Khó;Có;Có;;Tiếng Anh;K1 - K9;550.000;Tiếng Anh;Tiếng Anh;Quốc gia;Giao lưu quốc tế, huy chương, GCN;http://olympic.fermat.edu.vn/;;;;;;;;;;;;;;;
Tháng 12/2026;Tháng 09/2026;Tháng 11-12/2026;Cuộc thi Khoa học kĩ thuật cấp Thành phố;Khó;Không;Không;;Công nghệ/Khoa học;K8 - K9;Miễn phí;Tiếng Việt;"Tổ STEM-Công nghệ
Tổ Tự Nhiên";Thành phố;Chứng nhận;CV thành phố;;;;;;;;;;;;;;;
Tháng 12/2026;Tháng 10/2026;Tháng 12/2026;"Cuộc thi ""Khơi nguồn Võ Việt"" Toàn quốc";Năng khiếu;Có;Không;FE;Vovinam;K1 - K9;Miễn phí;Tiếng Việt;Tổ PDP;Toàn quốc;Tấm formex giải thưởng, Tiền thưởng, huy chương;Kế hoạch của Fschool;;;;;;;;;;;;;;;
Tháng 12/2026;Tháng 10/2026;01-12-2026;STEM Olympiad (Toán, Khoa học, Công nghệ - Kĩ thuật) - Đợt 1;Khó;Có;Có;;Toán, Khoa học, Công nghệ;K1 - K9;600.000;Tiếng Anh;"Tổ Tự nhiên
Tổ STEM-Công nghệ";Quốc gia;Huy chương, giấy chứng nhận tham gia;http://olympickhoahoc.com.vn/international-stem-olympiad/;;;;;;;;;;;;;;;
Tháng 12/2026;Tháng 09/2026;Tháng 12/2026;FANROC (AI & Robotics Challenge) 2026-2027;Trung bình;Có;Không;FE;AI, Robotics;K1 - K9;Miễn phí;Tiếng Việt;Tổ STEM-Công nghệ;Hệ thống FE/Fschools;Chứng nhận, tiền thưởng;;;;;;;;;;;;;;;;
Tháng 12/2026;Tháng 12/2026;15-12-2026;Viết thư quốc tế UPU;Trung bình;Có;Có;;Ngữ văn;K1 - K9;Miễn phí;Tiếng Việt;Tổ Xã hội;Toàn quốc;Tiền mặt, giấy khen;;;;;;;;;;;;;;;;
Tháng 12/2026;Tháng 12/2026;Tháng 12/2026;"Cuộc thi hát Tiếng Anh ""Light Up"" toàn quốc";Trung bình;Có;Không;FE;Tiếng Anh, PDP;K1 - K9;Miễn phí;Tiếng Anh;Tổ PDP - Tổ Tiếng Anh;Toàn quốc;Giấy chứng nhận;Kế hoạch của Fschool;;;;;;;;;;;;;;;
Tháng 01/2027;Tháng 10/2026;Tháng 01/2027;Trạng F ;Trung bình;Có;Không;FE;Tất cả các môn;K1 - K9;Miễn phí;Tiếng Việt/Tiếng Anh;Tổ Xã hội;Cấp trường;Giấy chứng nhận, quà ;Kế hoạch của Fschool;;;;;;;;;;;;;;;
Tháng 01/2027;Tháng 01/2027;Tháng 01/2027;Olympic Hóa học và Khoa học tự nhiên;Trung bình;Không;Không;;Khoa học;K6 - K9;350.000;Tiếng Việt;Tổ Tự nhiên;Toàn quốc;Chứng nhận, huy chương;https://hnue.edu.vn/;;;;;;;;;;;;;;;
Tháng 01/2027;Tháng 08/2026;"13/10/2026 (VL Miền Bắc); 30/12/2026 (VL Miền Trung); 04/01/2027 (Vô địch Quốc gia)";Giải Vô địch Quốc gia Việt Nam VEX Robotics – Bảng VEX IQ (VIQRC);Khó;Có;Có;;Robotics;K3 -K9;5,200,000/đội thi;Tiếng Việt/Tiếng Anh;Tổ STEM-Công nghệ;Toàn quốc;Giao lưu quốc tế, huy chương, tiền mặt;https://www.facebook.com/vexrc.vn?locale=vi_VN;;;;;;;;;;;;;;;
Tháng 01/2027;Tháng 08/2026;"23/11/2026 (VL Miền Trung); 07/12/2026 (VL Miền Bắc); 18/01/2027 (Chung kết)";Giải Vô địch Quốc gia Việt Nam VEX Robotics – Bảng VEX V5 (V5RC);Khó;Có;Có;;Robotics;K6 - K9;5,200,000/đội thi;Tiếng Việt/Tiếng Anh;Tổ STEM-Công nghệ;Toàn quốc;Giao lưu quốc tế, huy chương, tiền mặt;https://www.facebook.com/vexrc.vn?locale=vi_VN;;;;;;;;;;;;;;;
Tháng 01/2027;Tháng 08/2026;Dự kiến 18/01/2027 (Thi Quốc gia);FIRST Tech Challenge Vietnam (FTC Vietnam);Khó;Có;Có;;Robotics;K7 - K9;Miễn phí;Tiếng Việt/Tiếng Anh;Tổ STEM-Công nghệ;Toàn quốc;Giao lưu quốc tế, huy chương, tiền mặt;https://ftc.io.vn/index.html;;;;;;;;;;;;;;;
Tháng 01/2027;Tháng 12/2026;21-01-2027;Kì thi Toán Hoa Kỳ AMC8;Khó;Không;Không;;Toán;K4 - K8;400.000;Tiếng Anh;Tổ Tự nhiên;Toàn quốc;Huy chương, giấy chứng nhận;https://www.amcvietnam.edu.vn/8;;;;;;;;;;;;;;;
Tháng 02/2027;Tháng 10/2026;08-02-2027;STEM Olympiad (Tin học) - Đợt 2;Khó;Có;Có;;Tin học;K1 - K9;1.050.000;Tiếng Anh;"Tổ Tự nhiên
Tổ STEM-Công nghệ";Quốc gia;Huy chương, giấy chứng nhận tham gia;http://olympickhoahoc.com.vn/international-stem-olympiad/;;;;;;;;;;;;;;;
Tháng 02/2027;Tháng 10/2026;09-02-2027;STEM Olympiad (Toán, Khoa học, Công nghệ - Kĩ thuật) - Đợt 2;Khó;Có;Có;;Toán, Khoa học, Công nghệ;K1 - K9;600.000;Tiếng Anh;"Tổ Tự nhiên
Tổ STEM-Công nghệ";Quốc gia;Huy chương, giấy chứng nhận tham gia;http://olympickhoahoc.com.vn/international-stem-olympiad/;;;;;;;;;;;;;;;
Tháng 02/2027;Tháng 10/2026;22,23/02/2027;STEM Olympiad (Toán, Khoa học, Công nghệ - Kĩ thuật) - Vòng Final;Khó;Có;Có;;Toán, Khoa học, Công nghệ, Tin học;K1 - K9;Miễn phí nếu vượt qua vòng quốc gia;Tiếng Anh;"Tổ Tự nhiên
Tổ STEM-Công nghệ";Quốc tế;Huy chương, giấy chứng nhận tham gia;http://olympickhoahoc.com.vn/international-stem-olympiad/;;;;;;;;;;;;;;;
Tháng 02/2027;Tháng 12/2026;Tháng 02/2027;Học sinh giỏi thành phố lớp 9;Khó;Không;Không;;Toán, KHTN (1,2,3), Tin học, Ngữ văn, Lịch sử và Địa lý (1, 2);K9;Miễn phí;Tiếng Việt;Tổ Tự nhiên, Tổ Xã hội, Tổ Tiếng Anh, Tổ STEM - Công nghệ;Thành phố;Giấy chứng nhận;Công văn của TP;;;;;;;;;;;;;;;
Tháng 02/2027;Tháng 02/2026;Tháng 02/2027;Olympic Tiếng anh trên Internet (IOE) cấp Tỉnh/Thành phố;Trung bình;Có;Không;;Tiếng Anh;K2 - K9;Miễn phí;Tiếng Anh;Tiếng Anh;Tỉnh/Thành phố;Giấy chứng nhận, thành tích;https://ioe.vn/trang-chu;;;;;;;;;;;;;;;
Tháng 02/2027;Tháng 9/2026;Tháng 2/2027;MIT App Inventor 2027;Khó;Có;Có;;App Inventor;K6 - K9;Miễn phí;Tiếng Anh;Tổ STEM-Công nghệ;CLB Trường -> Quốc tế;"Chứng chỉ ký bởi MIT App Inventor & App Inventor Foundation; giới thiệu trên báo chí chính thức; lời mời trình bày tại Hội nghị thượng đỉnh MIT (6-8/7/2026)";;;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 12/2026;17-03-2027;Kì thi Toán quốc tế Kangaroo (IKMC);Khó;Có;Không;;Toán;K1 - K9;400.000;Tiếng Anh;Tổ Tự nhiên;Quốc gia;Huy chương, giấy chứng nhận thành tích;https://kangaroo-math.vn/;;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 01/2027;20-03-2027;Olympic Tin học quốc tế (HKICO);Trung bình;Có;Có;;Tin học;K2 - K9;"200,000 (Vòng loại); 
450,000  (Quốc gia)";Tiếng Việt/Tiếng Anh;"Tổ Tự nhiên
Tổ STEM-Công nghệ";Quốc tế;Huy chương, giấy chứng nhận thành tích;HKICO;;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 01/2027;20-03-2027;Olympic Khoa học quốc tế (HKISO);Trung bình;Có;Có;;KHTN;K2 - K9;"200,000 (Vòng loại); 
450,000  (Quốc gia)";Tiếng Việt/Tiếng Anh;"Tổ Tự nhiên
Tổ STEM-Công nghệ";Quốc tế;Huy chương, giấy chứng nhận thành tích;HKISO;;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 10/2026;Tháng 10/2026 đến tháng 3/2027;Giải Thể dục thể thao các cấp (bóng đá, cầu lông, cờ vua, bóng bàn,...);Năng khiếu;Không;Không;;GDTC;K1 - K9;Miễn phí;Tiếng Việt;Tổ PDP - P.CTHS;Cấp Trường- cấp Thành phố ;Giấy chứng nhận;Dựa vào công văn của Sở;;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 03/2027;Tháng 3/2027 đến tháng 5/2027;FESTIVAL Trạng nguyên tiếng Anh;Trung bình;Có;Không;;Tiếng Anh;K1 - K9;Miễn phí;Tiếng Anh;Tiếng Anh;Cấp tỉnh - Khu vực - Quốc gia;Giấy chứng nhận;Dựa vào công văn của Sở;;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 02/2027;Tháng 03/2027;ICIA;Khó;Có;Có;;Công nghệ/Khoa học;K6 - K9;Miễn phí;Tiếng Việt/Tiếng Anh;Tổ STEM-Công nghệ;Quốc gia;Giao lưu quốc tế, Giấy chứng nhận;https://www.facebook.com/profile.php?id=61573225115208&mibextid=wwXIfr&rdid=9atY2N4NXoXEfVrT&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F16AKuMuBi4%2F%3Fmibextid%3DwwXIfr#;;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 03/2027;Tháng 03/2027;Hội thi Tin học trẻ Toàn quốc lần thứ XXXIII (2027);Khó;Không;Không;;Tin học;K3 - K9;Miễn phí;Tiếng Việt;Tổ STEM-Công nghệ;Cấp Thành phố/Khu vực/Quốc gia;Chứng nhận;CV của TP và quốc gia;;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 1/2027;Tháng 03/2027;IOSTEM (Olympic STEM Internet);Khó;Không;Có;;STEM / Tin học;K3 - K8;Miễn phí;Tiếng Việt;Tổ STEM-Công nghệ;Trường -> Quốc gia;"Vô địch QG: 10.000.000đ + quà + vé CK quốc tế iCode; huy chương";iostem.vn;;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 1/2027;Tháng 03/2027;Hue-ICT Challenge;Khó;Không;Không;;Tin học (Lập trình);K6 - K9;Theo BTC ĐH Huế;Tiếng Việt;Tổ STEM-Công nghệ;Khu vực (ĐH Huế);Giấy chứng nhận ĐH Huế + giải bảng Junior;coder.husc.edu.vn (ĐH Huế);;;;;;;;;;;;;;;
Tháng 03/2027;Tháng 1/2027;Tháng 03/2027;Olympic Tin học MT-TN 2027;Khó;Không;Không;;Tin học lập trình;K3 - K9;Miễn phí;Tiếng Việt;Tổ STEM-Công nghệ;Toàn quốc;Huy chương (Vàng/Bạc/Đồng), bằng khen, tiền thưởng, cơ hội tuyển thẳng/cộng điểm vào VKU;https://olympic.vku.udn.vn/;;;;;;;;;;;;;;;
Tháng 04/2027;Tháng 1/2027;Tháng 04/2027;ORC (Robocon);Khó;Không;Không;;Robot;K6 - K9;Miễn phí;Tiếng Việt;Tổ STEM-Công nghệ;;Giấy khen + cúp + huy chương + phần thưởng;https://www.facebook.com/groups/503616861120372;;;;;;;;;;;;;;;
Tháng 04/2027;Tháng 2/2027;Tháng 04/2027;Cùng em sáng tạo STEM (Bộ GDĐT);Khó;Không;Không;;STEM;K1 - K9;Miễn phí (tự nguyện);Tiếng Việt;Tổ STEM-Công nghệ;Toàn quốc;Theo Ban tổ chức (Viện NCTK – Bộ GDĐT);Viện NCTK Trường học – Bộ GDĐT (TB 02/NCTK);;;;;;;;;;;;;;;
Tháng 04/2027;Tháng 03/2027;Tháng 04/2027;Đại sứ văn hóa đọc Đà Nẵng;Trung bình;Không;Không;;Ngữ văn;K1 - K9;Miễn phí;Tiếng Việt;Tổ Xã hội;Thành phố;Tiền mặt;;;;;;;;;;;;;;;;
Tháng 04/2027;Tháng 02/2027;07-04-2027;Olympic Toán Singapore và Châu Á (SASMO);Khó;Có;Có;;Toán;K2 - K9;450.000;Tiếng Anh;Tổ Tự nhiên;Quốc tế;"Huy chương, cơ hội tham gia cuộc thi Toán quốc tế SIMOC và IJMO ở nước ngoài.
Lưu ý: Cuộc thi có giá trị xem xét ưu tiên với các HB Sing/HB ASEAN";www.sasmo.vn;;;;;;;;;;;;;;;
Tháng 04/2027;Tháng 04/2027;Tháng 04/2027;Olympic Tiếng anh trên Internet (IOE) cấp Quốc gia;Trung bình;Có;Không;;Tiếng Anh;K2 - K9;Miễn phí;Tiếng Anh;Tiếng Anh;Toàn quốc;Giấy chứng nhận, huy chương;https://ioe.vn/trang-chu;;;;;;;;;;;;;;;
Tháng 04/2027;Tháng 09/2026;Tháng 04/2027;Sân chơi Toán học VNMF năm học 2026-2027;Trung bình;Có;Không;;Toán;K1 - K9;Miễn phí;Tiếng Việt;Tổ Tự nhiên;Quốc gia;Giấy chứng nhận, quà tặng;https://vnmf.edu.vn/lien-he/;;;;;;;;;;;;;;;
Tháng 05/2027;Tháng 02/2027;Tháng 05/2027;Olympic Khoa học quốc tế (VANDA);Khó;Có;Có;;Khoa học;K3 - K9;450.000;Tiếng Anh;"Tổ Tự nhiên
Tổ STEM-Công nghệ";Quốc tế/Grand final;"Huy chương,  giấy chứng nhận thành tích 
Lưu ý:  Cuộc thi có giá trị xem xét ưu tiên với HB ASEAN";https://www.facebook.com/kythikhoahocVANDA/;;;;;;;;;;;;;;;
Tháng 06/2027;Tháng 05/2027;Tháng 06/2027;The World Scholar's Cup;Khó;Có;Có;;Tiếng Anh;K3 - K9;140$;Tiếng Anh;Tiếng Anh;Đơn vị tư nhân;Giao lưu quốc tế, Giấy chứng nhận;https://www.scholarscup.org/;;;;;;;;;;;;;;;
Tháng 06/2027;Tháng 5/2027;Tháng 06/2027;Sáng tạo Robotics TP Đà Nẵng (Lần II) - 2027;Khó;Có;Có;;Robotics;K1 - K9;"Thuê robot: 2 triệu/bộ/tháng; Chi phí thi: Miễn phí";Tiếng Việt;Tổ STEM-Công nghệ;Phường -> Thành phố -> Toàn quốc -> Trung Quốc;Giấy khen + giải cấp Phường/Thành phố (theo BTC);BTC Robotics TP Đà Nẵng (Sở GD&ĐT / Thành Đoàn);;;;;;;;;;;;;;;
Tháng 07/2027;Tháng 07/2027;31-07-2027;Sáng tạo thanh thiếu niên nhi đồng ;Khó;Không;Không;;Khoa học;K1 - K9;Miễn phí;Tiếng Việt;Tổ Tự nhiên;Quốc gia;Huy chương, tiền mặt;Sáng tạo TTN Nhi đồng;;;;;;;;;;;;;;;
Tháng 07/2027;Tháng 05/2027;Tháng 07/2027;Olympic Thách thức Toán học Quốc tế Singapore SIMOC (Thi cá nhân, đồng đội);Khó;Có;Có;;Toán;K2 - K9;Trọn gói chi phí theo BTC;Tiếng Anh;Tổ Tự nhiên;Quốc tế;"Huy chương 
Lưu ý: Cuộc thi có giá trị xem xét ưu tiên với các HB Sing/HB ASEAN""";https://simoc.sg/;;;;;;;;;;;;;;;
Tháng 07/2027;Tháng 5/2027;Tháng 07/2027;Coding Olympics International 2027;Khó;Có;Có;;Coding (nền tảng CodeMonkey);K2 - K6;1.300.000 - 2.000.000đ;Tiếng Việt;Tổ STEM-Công nghệ;Quốc tế (Singapore);Huy chương + chứng nhận quốc tế;"Email: bao.pham@igroupnet.com ; https://www.facebook.com/mangoSTEEMSSingapore/";;;;;;;;;;;;;;;
Tháng 08/2027;Tháng 07/2027;Tháng 08/2027;Cuộc thi Toán học Trẻ Quốc tế IMC (International Mathematics Competition);Khó;Không;Có;;Toán;K5 - K8;Miễn phí;Tiếng Việt;Tổ Tự nhiên;Quốc tế;Huy chương, giấy chứng nhận, ưu tiên xét học bổng;https://www.facebook.com/share/16KfmDVMey/?mibextid=wwXIfr;;;;;;;;;;;;;;;
Tháng 08/2027;Tháng 5/2027;Tháng 09/2027;Enjoy AI Vietnam 2027;Khó;Không;Có;;Robotics, Drone;K1 - K9;"1.800.000đ/đội/HOST; Phí 3D virtual robot: 300.000đ/HS; thuê Robot & Drone: liên hệ BTC";Tiếng Việt;Tổ STEM-Công nghệ;Toàn quốc (Miền Bắc/Trung/Nam);"Huy chương/cúp; vé vòng QT khu vực & Chung kết QT (Thượng Hải)";"https://enjoyai.myonespace.online ; Fanpage: https://www.facebook.com/ENJOYAI.Vietnam";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lưu ý: Trên đây là danh sách dự kiến các cuộc thi sẽ được triển khai trong năm học 2026 - 2027. Thời gian triển khai cụ thể sẽ phụ thuộc vào Ban Tổ Chức các cuộc thi và các công văn từ Sở, ban ngành. Các đầu mối cần chú ý theo dõi thông tin về các cuộc thi để kịp thời triển khai đến học sinh.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
